city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
Pitimbu,-7.4706,-34.8086,299.48,79,61,4.32,BR,1633988538
Wanaka,-44.7,169.15,280.43,62,82,4.02,NZ,1633988538
Severo-Yeniseyskiy,60.3725,93.0408,263.92,92,32,1.44,RU,1633988539
Olafsvik,64.8945,-23.7142,278.63,83,97,3.15,IS,1633988539
Beringovskiy,63.05,179.3167,268.8,89,84,0.65,RU,1633988539
Manjakandriana,-18.9167,47.8,287.98,90,81,2.78,MG,1633988540
Castro,-24.7911,-50.0119,287.18,97,100,3.01,BR,1633988540
Ucluelet,48.9329,-125.5528,285.98,77,5,0.45,CA,1633988517
Kiryat Gat,31.61,34.7642,298.37,69,46,1.87,IL,1633988540
Mayskiy,47.6931,40.1025,286.82,64,19,4.4,RU,1633988541
College,64.8569,-147.8028,278.59,76,75,2.57,US,1633988410
Sola,-13.8833,167.55,300.52,69,75,0.0,VU,1633988541
Pulivendla,14.4167,78.2333,298.1,83,100,0.75,IN,1633988541
Hirara,24.8,125.2833,301.14,88,100,12.78,JP,1633988542
Beckley,37.7782,-81.1882,296.42,79,1,1.34,US,1633988542
Sangar,63.9242,127.4739,270.19,89,100,4.24,RU,1633988542
Esim,4.8699,-2.2405,298.82,91,38,2.63,GH,1633988543
Cayenne,4.9333,-52.3333,302.17,85,20,1.34,GF,1633988543
Calama,-22.4667,-68.9333,299.42,6,0,9.26,CL,1633988543
Broome,42.2506,-75.833,294.58,76,1,0.89,US,1633988544
Province of Mantua,45.1667,10.7833,286.73,81,82,0.45,IT,1633988544
Sibu,2.3,111.8167,297.32,94,40,2.24,MY,1633988544
Astoria,46.1879,-123.8313,287.43,67,1,1.79,US,1633988545
Fort Saint James,54.4333,-124.25,281.38,45,87,1.69,CA,1633988545
Okha,53.5739,142.9478,279.58,66,6,7.5,RU,1633988545
Hofn,64.2539,-15.2082,277.47,70,92,4.04,IS,1633988546
Kavieng,-2.5744,150.7967,301.64,71,31,3.97,PG,1633988546
City of San Pedro,14.35,121.0167,301.12,83,90,3.09,PH,1633988546
Toyo,10.7333,125.0167,299.51,84,100,3.4,PH,1633988547
Balikpapan,-1.2675,116.8289,297.7,94,40,2.06,ID,1633988547
Flin Flon,54.7682,-101.865,283.06,71,90,3.6,CA,1633988547
Broken Hill,-31.95,141.4333,281.99,49,12,0.0,AU,1633988548
Eenhana,-17.4667,16.3333,302.01,25,0,3.73,NA,1633988548
Urucurituba,-2.6833,-57.6667,303.05,56,60,1.05,BR,1633988548
Stilfontein,-26.8449,26.7683,289.0,39,0,3.59,ZA,1633988549
Hithadhoo,-0.6,73.0833,301.12,73,100,7.37,MV,1633988549
Pangnirtung,66.1451,-65.7125,274.15,93,75,2.06,CA,1633988549
Coquimbo,-29.9533,-71.3436,289.0,67,0,5.66,CL,1633988550
Tocopilla,-22.092,-70.1979,291.47,69,22,3.38,CL,1633988513
Mayumba,-3.432,10.6554,297.87,87,99,2.06,GA,1633988550
Anadyr,64.75,177.4833,265.43,92,20,0.89,RU,1633988551
Poum,-20.2333,164.0167,297.26,75,90,6.83,NC,1633988551
Katsuura,35.1333,140.3,296.03,91,53,6.63,JP,1633988551
Makokou,0.5738,12.8642,294.54,97,99,1.32,GA,1633988552
Bichura,50.5881,107.6022,277.04,61,96,1.11,RU,1633988552
Tongzi,28.7829,105.0877,288.31,90,100,0.92,CN,1633988552
Vao,-22.6667,167.4833,295.05,71,98,6.48,NC,1633988553
Nautla,20.2167,-96.7833,303.94,70,6,5.68,MX,1633988553
Grand Gaube,-20.0064,57.6608,296.69,87,88,1.79,MU,1633988553
Miyako,39.6367,141.9525,288.29,80,100,3.87,JP,1633988554
Suntar,62.1444,117.6319,269.25,55,75,5.74,RU,1633988554
Orocué,4.7912,-71.3354,299.57,84,100,2.36,CO,1633988554
Rānāpur,22.65,74.5333,297.02,77,1,1.63,IN,1633988555
Richards Bay,-28.783,32.0377,289.93,67,53,6.98,ZA,1633988555
Río Gallegos,-51.6226,-69.2181,289.18,23,75,5.14,AR,1633988300
Crailsheim,49.1344,10.0719,281.93,91,99,2.41,DE,1633988555
Labuhan,-6.8844,112.2051,298.49,73,32,5.44,ID,1633988556
San Quintín,30.4833,-115.95,293.95,68,0,7.51,MX,1633988556
Acarí,-15.4311,-74.6158,293.95,71,38,2.81,PE,1633988556
Te Anau,-45.4167,167.7167,276.83,94,88,3.01,NZ,1633988557
Hamilton,39.1834,-84.5333,300.81,63,1,0.89,US,1633988557
Upernavik,72.7868,-56.1549,274.13,98,100,6.99,GL,1633988557
Vanimo,-2.6741,141.3028,300.22,80,75,1.39,PG,1633988558
Gandajika,-6.75,23.95,292.59,90,89,0.9,CD,1633988558
Timberlake,37.3207,-79.2575,294.82,81,100,2.39,US,1633988558
Muhafazat Lahij,13.1667,44.5833,302.39,60,37,1.21,YE,1633988559
Diadema,-23.6861,-46.6228,292.1,94,75,2.68,BR,1633988559
Marystown,47.1666,-55.1483,286.4,100,17,3.61,CA,1633988559
Aksu,41.1231,80.2644,282.85,43,20,2.78,CN,1633988560
Gualaquiza,-3.4,-78.55,295.17,92,47,0.84,EC,1633988560
Torit,4.4133,32.5678,297.98,70,70,2.01,SS,1633988561
Otuzco,-7.9,-78.5833,270.33,65,60,2.73,PE,1633988561
At-Bashi,41.1702,75.8106,271.25,55,73,1.49,KG,1633988561
Xixiang,35.1628,112.865,284.62,76,98,0.71,CN,1633988562
